Source,Target,correlation,module1,module2,adj_pvalue,edge_id,edge_id2
bact_ASV_5,bact_ASV_104,0.00210197388851227,turquoise,turquoise,1.499035302982043e-5,bact_ASV_5 bact_ASV_104,bact_ASV_104 bact_ASV_5
bact_ASV_5,bact_ASV_118,0.01709525851818702,turquoise,grey,8.4566105880104475e-16,bact_ASV_5 bact_ASV_118,bact_ASV_118 bact_ASV_5
bact_ASV_5,bact_ASV_150,0.04595586886929053,turquoise,turquoise,7.034862023665662e-16,bact_ASV_5 bact_ASV_150,bact_ASV_150 bact_ASV_5
bact_ASV_5,bact_ASV_125,0.01089192118113323,turquoise,grey,6.194159311114537e-11,bact_ASV_5 bact_ASV_125,bact_ASV_125 bact_ASV_5
bact_ASV_5,bact_ASV_177,0.00214454441913698,turquoise,grey,1.3977577638342616e-6,bact_ASV_5 bact_ASV_177,bact_ASV_177 bact_ASV_5
bact_ASV_5,bact_ASV_140,0.0187450856067429,turquoise,turquoise,7.29302052111014e-10,bact_ASV_5 bact_ASV_140,bact_ASV_140 bact_ASV_5
bact_ASV_5,bact_ASV_148,0.02163198018163184,turquoise,turquoise,4.044373634744435e-4,bact_ASV_5 bact_ASV_148,bact_ASV_148 bact_ASV_5
bact_ASV_5,arc_ASV_2,0.01120859636331485,turquoise,grey,9.252177341547429e-8,bact_ASV_5 arc_ASV_2,arc_ASV_2 bact_ASV_5
bact_ASV_5,fun_ASV_1,0.00485109337815863,turquoise,grey,9.599585601537894e-4,bact_ASV_5 fun_ASV_1,fun_ASV_1 bact_ASV_5
bact_ASV_5,fun_ASV_22,0.00795345223378009,turquoise,blue,7.142380710886146e-4,bact_ASV_5 fun_ASV_22,fun_ASV_22 bact_ASV_5
bact_ASV_5,fun_ASV_6,0.00195216503185769,turquoise,grey,1.8771671292863828e-6,bact_ASV_5 fun_ASV_6,fun_ASV_6 bact_ASV_5
bact_ASV_5,fun_ASV_24,0.00795345223378009,turquoise,blue,7.141946840110366e-4,bact_ASV_5 fun_ASV_24,fun_ASV_24 bact_ASV_5
bact_ASV_5,fun_ASV_28,0.00106668062160652,turquoise,turquoise,6.635045271663644e-4,bact_ASV_5 fun_ASV_28,fun_ASV_28 bact_ASV_5
bact_ASV_5,fun_ASV_2,0.00508866329935367,turquoise,grey,1.5479691244964257e-7,bact_ASV_5 fun_ASV_2,fun_ASV_2 bact_ASV_5
