"Id","Phylum","Class","Order","Family","Genus"
"bact_ASV_48","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"bact_ASV_68","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_43","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"bact_ASV_84","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"bact_ASV_52","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_82","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"bact_ASV_69","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_119","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1"
"bact_ASV_74","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"bact_ASV_86","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_87","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Cohnella"
"bact_ASV_102","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"bact_ASV_75","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"bact_ASV_54","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"bact_ASV_92","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_114","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_65","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_59","Firmicutes","Bacilli","Bacillales","Planococcaceae","Domibacillus"
"bact_ASV_131","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_70","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"bact_ASV_93","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae",NA
"bact_ASV_111","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_96","Acidobacteriota","Acidobacteriae","Acidobacteriales",NA,NA
"bact_ASV_91","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"bact_ASV_107","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_124","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_88","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"bact_ASV_98","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"bact_ASV_99","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Roseiarcus"
"bact_ASV_104","Firmicutes","Thermacetogenia","Thermacetogeniales","Thermacetogeniaceae",NA
"bact_ASV_118","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"bact_ASV_112","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"bact_ASV_122","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium"
"bact_ASV_127","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"bact_ASV_143","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"bact_ASV_150","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"bact_ASV_125","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Cohnella"
"bact_ASV_103","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Cohnella"
"bact_ASV_177","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Aquisphaera"
"bact_ASV_140","Firmicutes","Sulfobacillia","Sulfobacillales","Sulfobacillaceae","Sulfobacillus"
"bact_ASV_148","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"arc_ASV_2","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae",NA
"arc_ASV_4","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae",NA
"arc_ASV_3","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA
"arc_ASV_6","Crenarchaeota","Bathyarchaeia",NA,NA,NA
"fun_ASV_1",NA,NA,NA,NA,NA
"fun_ASV_10","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_4","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_22","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Cheilymenia"
"fun_ASV_3","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_5","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma"
"fun_ASV_6","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_24",NA,NA,NA,NA,NA
"fun_ASV_28","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula"
"fun_ASV_2","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"fun_ASV_38",NA,NA,NA,NA,NA
"fun_ASV_15","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium"
"fun_ASV_25","Basidiomycota","Tremellomycetes","Trichosporonales","Tetragoniomycetaceae","Cryptotrichosporon"
"fun_ASV_20","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Lodderomyces"
"fun_ASV_23","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium"
"fun_ASV_30","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_27",NA,NA,NA,NA,NA
"fun_ASV_32","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_11","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_26","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"fun_ASV_36","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula"
"fun_ASV_14","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Rasamsonia"
"fun_ASV_12","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_9",NA,NA,NA,NA,NA
"fun_ASV_34","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"fun_ASV_49",NA,NA,NA,NA,NA
"fun_ASV_7",NA,NA,NA,NA,NA
"fun_ASV_48","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_40",NA,NA,NA,NA,NA
"fun_ASV_45","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_13","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_74","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Meyerozyma"
"fun_ASV_64","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"fun_ASV_35","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora"
"fun_ASV_39","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"fun_ASV_17","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta"
"fun_ASV_94","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_19",NA,NA,NA,NA,NA
"fun_ASV_31","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_86","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Perenniporia"
"fun_ASV_82","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"fun_ASV_8","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_63","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula"
"fun_ASV_47",NA,NA,NA,NA,NA
"fun_ASV_56","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Rhodocollybia"
"fun_ASV_37","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_51","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_60","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium"
"fun_ASV_21","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_41",NA,NA,NA,NA,NA
"fun_ASV_112",NA,NA,NA,NA,NA
"fun_ASV_55","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_57",NA,NA,NA,NA,NA
"fun_ASV_43",NA,NA,NA,NA,NA
"fun_ASV_66","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_111",NA,NA,NA,NA,NA
"fun_ASV_33","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_42","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"fun_ASV_52","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Rasamsonia"
"fun_ASV_29","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_89",NA,NA,NA,NA,NA
"fun_ASV_88",NA,NA,NA,NA,NA
"fun_ASV_50","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium"
"fun_ASV_91","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium"
"fun_ASV_73","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales family incertae sedis","Candida"
"fun_ASV_92",NA,NA,NA,NA,NA
"fun_ASV_65",NA,NA,NA,NA,NA
"fun_ASV_101","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales family incertae sedis","Candida"
"fun_ASV_85",NA,NA,NA,NA,NA
"fun_ASV_109",NA,NA,NA,NA,NA
"fun_ASV_135","Ascomycota","Sordariomycetes","Amphisphaeriales","Sporocadaceae","Pseudopestalotiopsis"
"fun_ASV_83",NA,NA,NA,NA,NA
"fun_ASV_54","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_81",NA,NA,NA,NA,NA
"fun_ASV_70",NA,NA,NA,NA,NA
